epicid,ra,dec,kepmag,period,t0,duration,campaign,label
219677835,[[288.0372925]],[[-16.1276188]],[[14.042]],31.10672939,2488.564939,1.435143737,7, J
219678210,[[289.518219]],[[-16.1265182]],[[17.669]],0.245116085,2468.645958,0.141186865,7, J
219680904,[[287.8687134]],[[-16.1191273]],[[17.448]],31.13099598,2488.560309,0.363063023,7, J
219682780,[[288.2806702]],[[-16.1138439]],[[18.314]],0.245116159,2468.645881,0.141186908,7, J
219683210,[[287.9391174]],[[-16.1126328]],[[17.883]],0.245116219,2468.64586,0.141186942,7, J
219683737,[[289.4614868]],[[-16.1113148]],[[13.307]],3.919639536,2471.147965,0.830545765,7, J
219683935,[[288.4153442]],[[-16.1108074]],[[12.868]],12.02516813,2473.747755,0.25,7, J
219684401,[[288.9311829]],[[-16.1095428]],[[16.936]],0.2451161,2468.645922,0.141186873,7, J
219686544,[[288.1907349]],[[-16.1034431]],[[12.235]],38.94024735,2488.575653,1.63223532,7, J
219687175,[[288.6043701]],[[-16.1016865]],[[17.042]],0.245116144,2468.645901,0.141186899,7, J
219687900,[[288.265564]],[[-16.0996552]],[[14.711]],31.10665362,2488.561485,1.648842156,7, J
219693436,[[287.9888916]],[[-16.0842285]],[[13.333]],15.69366452,2474.527429,0.92844478,7, J
219693860,[[287.9960327]],[[-16.0830097]],[[14.632]],36.49175662,2481.534396,8.79266766,7, J
219696026,[[287.8495178]],[[-16.0772285]],[[17.789]],0.245116219,2468.645854,0.141186942,7, J
219697056,[[288.0115356]],[[-16.0744362]],[[14.547]],0.245116204,2468.645864,0.141186934,7, J
219700165,[[288.1262817]],[[-16.0658913]],[[17.572]],0.490438488,2468.619232,0.389075852,7, J
219700723,[[289.0366211]],[[-16.0642872]],[[12.611]],0.2451161,2468.665537,0.141186873,7, J
219701524,[[288.3546448]],[[-16.0620098]],[[11.7]],0.245116132,2468.644071,0.288857403,7, J
219703329,[[288.0725098]],[[-16.0569077]],[[14.153]],17.64373441,2484.856174,0.25,7, J
219704210,[[289.4857483]],[[-16.0542564]],[[13.297]],1.899965167,2468.736928,11.52465351,7, J
219705547,[[288.221405]],[[-16.0503674]],[[16.034]],0.245231003,2468.617338,0.141253057,7, J
219705660,[[287.9732056]],[[-16.0500641]],[[15.143]],31.10680231,2488.572497,1.105849256,7, J
219707908,[[288.6838074]],[[-16.0436058]],[[12.277]],0.245116144,2468.666338,0.141186899,7, J
219708165,[[288.4964294]],[[-16.0428028]],[[13.059]],19.60912285,2468.716132,2.439991028,7, J
219708370,[[287.8934021]],[[-16.0421982]],[[13.746]],0.245116219,2468.645857,0.141186942,7, J
219709636,[[288.8779602]],[[-16.0384541]],[[13.249]],13.72147107,2478.96748,1.305078208,7, J
219710424,[[287.9909363]],[[-16.0362873]],[[14.79]],31.50026627,2488.585408,2.220017981,7, J
219711304,[[288.3432007]],[[-16.0339127]],[[17.534]],0.245116144,2468.645885,0.141186899,7, J
219711484,[[288.0280762]],[[-16.0333805]],[[13.649]],17.13821946,2468.706902,1.370323278,7, J
219712041,[[288.5832214]],[[-16.0317993]],[[16.941]],33.4897108,2488.575413,1.662245828,7, J
219712762,[[288.0458984]],[[-16.0297394]],[[13.674]],0.24515447,2468.636085,0.141208975,7, J
219713114,[[288.7209167]],[[-16.0287476]],[[16.63]],0.245116238,2468.648915,0.597336053,7, J
219714716,[[287.8871765]],[[-16.0241699]],[[14.761]],21.32649768,2477.03752,0.452879404,7, J
219718807,[[288.4467468]],[[-16.0127335]],[[17.643]],0.245116144,2468.645891,0.141186899,7, J
219718904,[[289.2923584]],[[-16.0125141]],[[17.014]],0.245116085,2468.645944,0.141186865,7, J
219722212,[[288.8392334]],[[-16.0029736]],[[12.699]],5.89121059,2468.586108,0.300155331,7, J
219722781,[[289.1555176]],[[-16.0014076]],[[13.647]],28.67370326,2468.688486,2.52461118,7, J
219725611,[[288.1089172]],[[-15.9933834]],[[14.056]],30.86393686,2496.64069,2.100911874,7, J
219727112,[[288.27948]],[[-15.989068]],[[16.6]],0.245230973,2468.616528,0.14125304,7, J
219728892,[[288.4408875]],[[-15.9840345]],[[17.507]],0.245231058,2468.618711,0.294232614,7, J
219730554,[[288.7433167]],[[-15.9792948]],[[16.263]],0.878094807,2468.914916,3.474162487,7, E
219731054,[[288.756897]],[[-15.9779301]],[[9.775]],0.878074537,2468.914687,3.30905458,7, E
219731547,[[288.7564087]],[[-15.9765244]],[[9.126]],0.878102297,2468.915455,3.607534972,7, E
219738190,[[288.869812]],[[-15.9574385]],[[17.654]],0.2451161,2468.645918,0.141186873,7, J
219739630,[[288.4187927]],[[-15.9532557]],[[13.613]],29.47186738,2494.594131,2.208241246,7, J
219746856,[[288.5334167]],[[-15.9321032]],[[16.787]],0.245154411,2468.636115,0.141208941,7, J
