,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
18291,136199143,305.391954226,30.4787775126,12.2584,0.209739,1683.814938,0.02027,0.09004305009,15,1,2,1.02372,1.109,6007.0,4.46264,73.62732,-1.32853
18316,136206759,305.589219541,30.5535725166,13.2434,3.620993,1685.564777,0.0178,0.11326466104,15,1,2,11.8931,,4695.0,,11.26144,0.20039
18333,136207121,305.538419255,30.6062213662,11.9649,8.711212,1690.748037,0.00813,0.15209776151999999,15,1,2,37.0752,,4033.0,,9.19787,0.15704
18368,136208459,305.630355693,30.7939666253,13.2721,2.654894,1711.97415,0.02385,0.15430243928,15,1,2,3.65187,1.07,5910.0,3.34242,24.72388,0.37906
18369,136208501,305.651085071,30.7995288888,11.4486,2.654894,1711.967772,0.00753,0.1707096842,15,1,2,7.27048,,7622.0,,34.66274,0.41415
18384,136208983,305.531179177,30.8669844961,12.865,0.471544,1711.503068,0.00833,0.23031623592,15,1,2,3.2119,1.84,7771.0,3.68936,37.98351,-1.17736
18403,136315542,305.543018464,30.9333299367,13.1682,3.339179,1713.587936,0.04375,0.29558412508000004,15,1,2,5.1906,,5960.0,,60.93039,0.36558
18404,136315553,305.552988863,30.9361838374,12.5733,3.344263,1713.574907,0.01848,0.28770694589,15,1,2,21.5539,,4055.0,,34.50461,0.37358
18414,136316138,305.65104241,31.0179129304,12.82,0.569461,1711.632808,0.00318,0.05318196279,15,1,2,11.4901,,4471.0,,9.27747,0.15562
18442,136316999,305.577762958,31.1381966888,13.2705,0.560433,1711.870345,0.01147,0.14878375283999998,15,1,2,3.88709,1.18,6178.0,3.3307,27.78868,0.42714
18443,136317193,305.619308287,31.1631319487,11.9052,2.653647,1713.447964,0.00377,0.09823801194,15,1,2,46.8188,,4026.0,,12.82808,0.20887
18463,136317654,305.544469614,31.2299708878,12.6804,2.790267,1712.092443,0.1406,0.16576976247,15,1,2,,,,,84.00823,0.41412
18464,136317659,305.527816009,31.230741832,13.2996,2.794268,1712.075413,0.04232,0.14625198712,15,1,2,10.8644,,4689.0,,29.2099,0.27855
18465,136317663,305.570400063,31.2315852494,10.5979,2.790267,1712.09044,0.01097,0.16069147653000002,15,1,2,,,3145.0,,49.07932,0.40183
18471,136317809,305.542445146,31.2531937133,8.5631,2.790989,1684.17797,0.10133,0.16874319494,15,1,2,,,,,125.59446,0.40771
18473,136317875,305.55076965,31.2627018089,13.3631,1.39585,1684.175464,2.79615,0.13529974050000002,15,1,2,0.819803,0.985,5581.0,4.60408,98.0237,0.08146
18476,136317952,305.549161224,31.2735494917,11.4803,2.790989,1684.177398,0.30579,0.16184945211,15,1,2,2.90872,1.83,7750.0,3.77311,93.88727,0.43741
