time, circaper5, circaper0
2799.2803,0.99744521,0.99657547
2799.3007,0.9973917,0.99664274
2799.3211,0.99680007,0.99644937
2799.3416,0.99795757,0.99718373
2799.3824,0.99801648,0.99700681
2799.4029,0.99788046,0.99756135
2799.4437,0.9980181,0.99669312
2799.4642,0.99824793,0.99662832
2799.4846,0.99830577,0.99711525
2799.505,0.99837786,0.99732719
2799.5254,0.99713171,0.99642875
2799.5459,0.9969884,0.99639363
2799.5663,0.99716331,0.99649022
2799.5867,0.99718835,0.99679852
2799.6072,0.99965502,0.99605069
2799.6276,0.99760028,0.99642576
2799.648,0.9969242,0.99625161
2799.6889,0.99792498,0.99700284
2799.7093,0.99861859,0.99718592
2799.7298,0.99722508,0.99629412
2799.7502,0.99772795,0.99702833
2799.7706,0.99840587,0.99692634
2799.7911,0.99791051,0.99651487
2799.8115,0.99792843,0.99656306
2799.8319,0.99743505,0.99691708
2799.8524,0.9984481,0.99684984
2799.8728,0.99783904,0.99657498
2799.8932,0.99848901,0.99699249
2799.9341,0.99763114,0.99649332
2799.9545,0.9977949,0.99658865
2799.9749,0.99766527,0.99651081
2799.9954,0.99837642,0.99677038
2800.0158,0.9976257,0.99651131
2800.0362,0.99652073,0.99643282
2800.0567,0.99820654,0.99688458
2800.0771,0.99789467,0.99653613
2800.0975,0.99885987,0.99699412
2800.118,0.99845836,0.99694853
2800.1384,0.99705325,0.99599654
2800.1793,0.99735607,0.99641966
2800.1997,0.99853236,0.99744024
2800.2201,0.99741575,0.99673567
2800.2406,0.99864335,0.9969342
2800.261,0.9984118,0.99716148
2800.2814,0.99723676,0.99678317
2800.3019,0.99726472,0.9966708
2800.3223,0.99828535,0.99650128
2800.3427,0.99693831,0.99663649
2800.3631,0.9980833,0.99671756
2800.3836,0.99818981,0.99705594
2800.4244,0.99701927,0.99640239
2800.4449,0.99862765,0.99670592
2800.4653,0.9979325,0.99705669
2800.4857,0.99902932,0.99684562
2800.5062,0.99756716,0.99643325
2800.5266,0.99727049,0.9963302
2800.547,0.99806775,0.99658804
2800.5675,0.99734065,0.99624398
2800.5879,0.99762194,0.99660908
2800.6083,0.99776173,0.99641849
2800.6288,0.99774353,0.99633836
2800.6696,0.99770592,0.99622281
2800.6901,0.99720699,0.99574596
2800.7105,0.99819998,0.99627728
2800.7309,0.99731241,0.99677889
2800.7514,0.99820957,0.99677818
2800.7718,0.99777446,0.99682527
2800.7922,0.99781616,0.99705872
2800.8126,0.99698076,0.99579963
2800.8331,0.99770022,0.99626275
2800.8535,0.9970307,0.99634693
2800.8739,0.99618487,0.99608844
2800.9148,0.99808186,0.99649768
2800.9352,0.99748436,0.9966005
2800.9557,0.99659322,0.99610431
2800.9761,0.99844216,0.99631189
2800.9965,0.99845231,0.9966561
2801.017,0.99797407,0.99692128
2801.0374,0.99719685,0.99635543
2801.0578,0.99828865,0.99677991
2801.0783,0.99781352,0.99653195
2801.0987,0.99896242,0.99664942
2801.1191,0.99738665,0.99615022
2801.16,0.998119,0.9971732
2801.1804,0.99727366,0.99644819
2801.2008,0.99709375,0.99645959
2801.2213,0.99860575,0.99737997
2801.2417,0.9976525,0.99654919
2801.2621,0.99810242,0.99675651
2801.2826,0.99765011,0.99590857
2801.303,0.99768694,0.99654131
2801.3234,0.99834737,0.99669859
2801.3439,0.99747641,0.99640217
2801.3643,0.99849415,0.99660016
2801.4052,0.99821311,0.99688324
2801.4256,0.9999303,0.99705976
2801.446,1.002947,0.99679749
2801.4665,0.99666313,0.99621222
2801.4869,0.99749795,0.99654573
2801.5073,0.99897964,0.99665758
2801.5278,0.99750316,0.9961928
2801.5482,0.99758555,0.99617653
2801.5686,0.99818772,0.99652186
2801.5891,0.99714246,0.99578893
2801.6095,0.9980578,0.99607505
2801.6503,0.99678065,0.99625224
2801.6708,0.99821594,0.99670798
2801.6912,0.99801345,0.99648452
2801.7116,0.99824796,0.9968414
2801.7321,1.003402,0.99636075
2801.7525,0.99726385,0.99604805
2801.7729,0.99808249,0.99653
2801.7934,0.99758668,0.99629809
2801.8138,0.99839897,0.99624877
2801.8342,0.9973906,0.99605425
2801.8547,0.99786569,0.99594049
2801.8955,0.99881736,0.99655811
2801.916,0.99815181,0.99660733
2801.9364,0.99690418,0.99598075
2801.9568,0.99876186,0.99641169
2801.9773,0.99761425,0.99640595
2801.9977,1.0019169,0.99632725
2802.0181,0.99856499,0.99661976
2802.0385,0.99871924,0.99654227
2802.059,0.99922312,0.99665198
2802.0794,0.99874145,0.99623873
