#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4168.01,9402583,0.536534,65.0348,1.18,0.000144,KOI,15.89,0.5,20,3.986,2.229,1,86.9,41,13,1,69,233,42,13,2,199,100,43,13,3,73,230,44,13,4,203,103
009402652-pri,9402652,1.073104,54.290259,3.5721,0.3642,KEB,11.823,2,-10,0.675,2.495,1,86.9,41,13,1,47,233,42,13,2,199,78,43,13,3,52,230,44,13,4,203,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132.01,9541295,0.536652,64.7074,2.4664,0.000034,KOI,12.649,1,0,4.158,2.574,1,152.6,49,15,1,310,224,5,3,1,310,228,33,11,1,308,227,77,23,1,306,224
4182.01,9541089,0.536669,64.702,1.18,0.000065,KOI,13.956,1,0,4.158,2.574,1,152.6,49,15,1,271,226,5,3,1,272,230,33,11,1,269,229,77,23,1,268,226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132.01,9541295,0.536652,64.7074,2.4664,0.000034,KOI,12.649,1,20,4.606,2.873,1,131.5,49,15,1,310,224,5,3,1,310,228,33,11,1,308,227,77,23,1,306,224
009541127-pri,9541127,0.53665,53.976537,2.1032,0.3781,KEB,12.558,1,-20,4.606,2.88,1,131.5,49,15,1,277,224,5,3,1,277,227,33,11,1,275,227,77,23,1,273,223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4182.01,9541089,0.536669,64.702,1.18,0.000065,KOI,13.956,1,0,4.158,2.574,1,152.6,49,15,1,271,226,5,3,1,272,230,33,11,1,269,229,77,23,1,268,226
3132.01,9541295,0.536652,64.7074,2.4664,0.000034,KOI,12.649,1,0,4.158,2.574,1,152.6,49,15,1,310,224,5,3,1,310,228,33,11,1,308,227,77,23,1,306,224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4182.01,9541089,0.536669,64.702,1.18,0.000065,KOI,13.956,1,20,4.131,2.438,1,23.4,49,15,1,271,226,5,3,1,272,230,33,11,1,269,229,77,23,1,268,226
