Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,3701.01,6470521,006470516-pri,6470516,1:1,6.6,-1,-1,16.45,-2.59,8.44E+01,0
Direct PRF,3718.01,5036537,005036538-pri,5036538,1:2,11.7,-3,-1,13.35,2.21,4.14E+01,0
Direct PRF,3723.01,5471606,005471619-pri,5471619,1:1,11.2,1,-3,12.37,-1.55,4.70E+01,0
Direct PRF,3734.01,10275880,010275887-pri,10275887,1:1,10,2,-1,13.04,0.17,8.55E+01,0
Direct PRF,3741.01,8780959,3653.01,8780968,1:1,8.1,2,1,16.3,-3,7.05E+01,0
Direct PRF,3747.01,9777087,3672.01,9777090,1:1,4.1,1,0,17.78,-0.71,8.29E+00,0
Direct PRF,3747.02,9777087,009777062-pri,9777062,1:1,22.8,-5,3,12.24,4.82,8.27E+01,0
Direct PRF,3748.01,4247807,004247791-pri,4247791,1:2,13.9,-4,-1,11.26,3.55,1.89E+01,0
Direct PRF,3752.01,6314185,3708.01,6314173,1:1,7,0,-2,17.72,-2.83,4.71E+01,0
Direct PRF,3759.01,8543279,008543278-pri,8543278,1:1,5.7,1,1,14.61,1.38,5.11E+00,0
Direct PRF,3769.01,6543683,006543674-sec,6543674,1:2,11.6,3,0,13.54,0.46,3.97E+01,0
Direct PRF,3774.01,6205481,006205460-sec,6205460,1:1,18.1,-4,2,12.75,2.93,2.48E+02,0
Direct PRF,3775.01,7220320,1350.01,7220322,1:1,4.5,0,1,11.88,2.2,1.43E-01,1
Direct PRF,3785.01,4073730,3525.01,4073707,1:1,9.9,0,-3,14.12,-3.06,1.03E+02,0
Direct PRF,3789.01,8906045,008906039-pri,8906039,1:1,3.9,1,-1,12.62,1.55,1.02E+00,1
Direct PRF,3796.01,3338674,3795.01,3338660,1:1,8.5,2,1,14.81,-2.1,9.33E+01,0
Direct PRF,3798.01,5475736,005475712-pri,5475712,1:1,12.6,-2,-2,13.28,0.73,7.06E+01,0
Direct PRF,3802.01,5020044,3688.01,5020034,1:1,6.9,0,-1,15.81,-1.98,1.84E+02,0
Direct PRF,3803.01,6286155,006286161-pri,6286161,1:1,7.5,-1,-2,16.71,-2.95,9.85E+01,0
Direct PRF,3806.01,5305471,005217733-pri,5217733,1:1,52.2,8,-10,7.39,6.79,4.67E+01,0
Direct PRF,3816.01,7877818,007877824-sec,7877824,1:1,8.2,-1,-2,15.65,-1.83,1.20E+02,0
Direct PRF,3820.01,5305404,005217733-pri,5217733,1:1,49.4,12,-2,7.39,7.33,3.62E+01,0
Direct PRF,3821.01,5956776,2616.01,5956787,1:1,8.2,-1,2,12.09,4.65,7.44E-03,1
Direct PRF,3826.01,8240123,008240109-pri,8240109,1:1,11.7,2,2,13.49,2.33,6.97E+01,0
Direct PRF,3828.01,10031907,010031808-pri,10031808,1:1,69.4,-17,0,9.56,5.09,2.87E+02,0
Direct PRF,3834.01,3836399,003836439-pri,3836439,1:1,37.7,9,3,7.57,6.88,4.55E+01,0
Direct PRF,3839.01,10095484,010095469-pri,10095469,1:1,15.2,-3,1,14.69,-0.31,2.37E+02,0
Direct PRF,3840.01,5467102,3825.01,5467113,1:1,7.5,-1,-1,15.83,-0.47,1.87E+01,0
Direct PRF,3843.01,5305451,005217733-pri,5217733,1:1,100.2,21,-14,7.39,8.01,4.35E+01,0
